 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
259,Ghasa to Kalopani Trek,Myagdi,Myagdi,Moderate,1,2530,2000,12,100,200,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.75,0.78,0.5,Moderate,Basic,Yes,Yes,No,18,One-way,3,530,530,Abundant,Partial,Yes,Deep Kali Gandaki gorge,NTNC-ACAP
260,Lete to Larjung Trek,Mustang,Mustang,Easy,1,2600,2480,6,60,120,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.8,0.72,0.45,Low,None,Yes,Yes,No,12,One-way,2,120,120,Abundant,Partial,Yes,Thakali cultural villages,NTNC-ACAP
261,Tukuche Peak Viewpoint,Mustang,Mustang,Moderate,2,3000,2500,14,150,300,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.78,0.78,0.52,Moderate,Basic,Yes,Yes,No,20,Out-and-back,3,500,500,Moderate,Partial,Yes,Apple brandy village trek,NTNC-ACAP
262,Dumba Lake Trek,Mustang,Mustang,Moderate,1,3700,2700,10,120,250,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.72,0.82,0.55,Moderate,Basic,Yes,No,Yes,22,Out-and-back,4,1000,1000,Moderate,Limited,No,Sacred lake above Muktinath,NTNC-ACAP
263,Thorong Phedi to High Camp,Manang,Manang,Hard,1,4925,4500,4,100,200,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.45,0.85,0.72,High,Intermediate,No,Yes,Yes,25,One-way,5,425,425,Moderate,Limited,No,Acclimatization before Thorong La,NTNC-ACAP
264,Ice Lake Extended,Manang,Manang,Hard,1,4620,3540,12,120,250,Spring|Autumn,Yes,ACAP,3000,No,None,0.52,0.88,0.7,High,Basic,No,Yes,Yes,28,Out-and-back,5,1080,1080,Moderate,Limited,No,High altitude lake viewpoint,NTNC-ACAP
265,Gangapurna Lake Walk,Manang,Manang,Easy,1,3580,3540,3,30,60,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.78,0.82,0.45,Low,None,Yes,Yes,No,8,Out-and-back,4,40,40,Abundant,Partial,Yes,Glacial lake near Manang,NTNC-ACAP
266,Braga Monastery Walk,Manang,Manang,Easy,1,3500,3540,2,20,40,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.95,0.72,0.38,Low,None,Yes,Yes,No,6,Out-and-back,4,0,40,Abundant,Partial,Yes,500-year-old cave monastery,NTNC-ACAP
267,Praken Gompa Hike,Manang,Manang,Moderate,1,4000,3540,6,60,120,Spring|Autumn,Yes,ACAP,3000,No,None,0.88,0.78,0.5,Moderate,Basic,Yes,Yes,No,15,Out-and-back,4,460,460,Moderate,Limited,Yes,Meditation retreat viewpoint,NTNC-ACAP
268,Ghyaru to Ngawal Trek,Manang,Manang,Moderate,1,3650,3600,8,80,160,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.9,0.8,0.52,Moderate,Basic,Yes,Yes,No,20,Traverse,4,50,50,Moderate,Partial,Yes,Upper Manang heritage trail,NTNC-ACAP
269,Pisang Peak Base Camp,Manang,Manang,Hard,2,4400,3200,18,200,400,Spring|Autumn,Yes,ACAP,3000,Yes,Camping,0.55,0.88,0.75,High,Intermediate,No,Yes,Yes,32,Out-and-back,5,1200,1200,Moderate,Limited,No,Approach to climbing peak,NTNC-ACAP
270,Chulu West Base Camp,Manang,Manang,Hard,3,4800,3400,25,350,700,Spring|Autumn,Yes,ACAP,3000,Yes,Camping,0.5,0.88,0.78,High,Intermediate,No,Yes,Yes,38,Out-and-back,6,1400,1400,Moderate,Limited,No,High camp for Chulu peaks,NTNC-ACAP
271,Nar Phedi Trail,Manang,Manang,Moderate,1,2900,2500,10,100,200,Spring|Autumn,Yes,Restricted Area + ACAP,90,No,Teahouse,0.78,0.8,0.55,Moderate,Basic,Yes,Yes,No,22,One-way,4,400,400,Abundant,Partial,Yes,Gateway to Nar Phu,NTNC-ACAP
272,Phu Village Trek,Manang,Manang,Hard,6,4200,2500,60,800,1500,Spring|Autumn,Yes,Restricted Area + ACAP,90,Yes,Teahouse,0.88,0.82,0.72,High,Intermediate,Yes,Yes,Yes,45,Out-and-back,6,1700,1700,Moderate,Limited,No,Ancient Tibetan village,NTNC-ACAP
273,Kang La Pass Approach,Manang,Manang,Very Hard,3,5200,3800,28,400,800,Spring|Autumn,Yes,ACAP,3000,Yes,Camping,0.48,0.88,0.85,Very High,Intermediate,No,Yes,Yes,42,Out-and-back,7,1400,1400,Moderate,None,No,Approach to Naar crossing,NTNC-ACAP
274,Yak Kharka to Ledar,Manang,Manang,Moderate,1,4250,4000,5,60,120,Spring|Autumn,Yes,ACAP,3000,No,Teahouse,0.55,0.82,0.55,Moderate,Basic,Yes,Yes,No,18,One-way,5,250,250,Moderate,Limited,No,Thorong La approach,NTNC-ACAP
275,Larkya La Approach,Manaslu,Gorkha,Hard,2,4480,3700,16,200,400,Spring|Autumn,Yes,Restricted Area + MCAP,50,Yes,Teahouse,0.52,0.85,0.72,High,Intermediate,No,Yes,Yes,32,One-way,6,780,780,Moderate,Limited,No,Manaslu pass preparation,NTNC-MCAP
276,Samdo to Dharamsala,Manaslu,Gorkha,Hard,1,4460,3860,8,100,200,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,Teahouse,0.48,0.82,0.68,High,Basic,No,Yes,Yes,28,One-way,6,600,600,Moderate,Limited,No,High camp before Larkya La,NTNC-MCAP
277,Lho to Sama Trek,Manaslu,Gorkha,Moderate,1,3500,3100,10,100,200,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,Teahouse,0.8,0.8,0.55,Moderate,Basic,Yes,Yes,No,22,One-way,5,400,400,Moderate,Partial,Yes,Manaslu Base Camp detour option,NTNC-MCAP
278,Birendra Lake Trek,Manaslu,Gorkha,Moderate,2,3550,3500,8,100,200,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,None,0.68,0.85,0.55,Moderate,Basic,Yes,Yes,No,25,Out-and-back,5,50,50,Moderate,Limited,Yes,Glacial lake near Sama,NTNC-MCAP
279,Manaslu View Point,Manaslu,Gorkha,Moderate,1,3800,3500,6,80,160,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,None,0.62,0.88,0.55,Moderate,Basic,Yes,Yes,No,20,Out-and-back,5,300,300,Moderate,Limited,Yes,Panoramic Manaslu views,NTNC-MCAP
280,Philim to Deng Trek,Manaslu,Gorkha,Moderate,1,1800,1500,12,100,200,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,Teahouse,0.8,0.75,0.52,Moderate,Basic,Yes,Yes,No,18,One-way,4,300,300,Abundant,Partial,Yes,Entry to Manaslu gorge,NTNC-MCAP
281,Namrung to Lho Trek,Manaslu,Gorkha,Moderate,1,3100,2600,8,80,160,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,Teahouse,0.78,0.78,0.52,Moderate,Basic,Yes,Yes,No,20,One-way,4,500,500,Moderate,Partial,Yes,Tibetan culture zone entry,NTNC-MCAP
282,Bhimthang to Dharapani,Manaslu,Gorkha,Moderate,2,2280,1900,18,150,300,Spring|Autumn,Yes,Restricted Area + MCAP,50,No,Teahouse,0.72,0.78,0.55,Moderate,Basic,Yes,No,Yes,25,One-way,4,0,380,Abundant,Partial,Yes,Exit through rhododendron forest,NTNC-MCAP
283,Tsum Valley Extension,Manaslu,Gorkha,Hard,8,3700,1000,70,900,1600,Spring|Autumn,Yes,Restricted Area + MCAP,35,Yes,Teahouse,0.9,0.82,0.65,High,Intermediate,Yes,Yes,Yes,48,Out-and-back,6,2700,2700,Moderate,Limited,No,Hidden Buddhist valley,NTNC-MCAP
284,Chhekampar Village Trek,Manaslu,Gorkha,Moderate,4,3050,1400,40,400,800,Spring|Autumn,Yes,Restricted Area + MCAP,35,No,Teahouse,0.88,0.78,0.58,Moderate,Basic,Yes,No,Yes,35,Out-and-back,5,1650,1650,Moderate,Limited,No,Lower Tsum cultural walk,NTNC-MCAP
285,Mu Gompa Trek,Manaslu,Gorkha,Hard,6,3700,1400,55,700,1300,Spring|Autumn,Yes,Restricted Area + MCAP,35,Yes,Teahouse,0.92,0.8,0.62,High,Intermediate,Yes,Yes,Yes,42,Out-and-back,6,2300,2300,Moderate,Limited,No,Upper Tsum monastery,NTNC-MCAP
286,Gorkha to Barpak Trek,Gorkha,Gorkha,Moderate,3,2000,1000,30,300,600,Year-round,No,None,0,No,Homestay,0.85,0.75,0.52,Moderate,Basic,Yes,No,Yes,28,One-way,4,1000,1000,Abundant,Partial,Yes,Earthquake resilience village,Nepal Tourism Board
287,Arughat to Soti Khola,Gorkha,Gorkha,Easy,1,720,520,10,80,160,Year-round,No,None,0,No,Teahouse,0.72,0.7,0.42,Low,None,Yes,Yes,No,12,One-way,2,200,200,Abundant,Good,Yes,Manaslu trek start,NTNC-MCAP
288,Ruby Valley Trek,Dhading,Dhading,Hard,10,4600,600,90,900,1700,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.68,0.85,0.72,High,Intermediate,Yes,Yes,Yes,52,Loop,6,4000,4000,Moderate,Limited,No,Remote valley near Ganesh Himal,Nepal Tourism Board
289,Nagarjun Forest Reserve Walk,Kathmandu,Kathmandu,Easy,1,2128,1400,8,40,80,Year-round,Yes,National Park,1000,No,None,0.65,0.75,0.4,Low,None,Yes,Yes,No,6,Loop,2,728,728,Abundant,Good,Yes,Protected forest within city,DNPWC
290,Godawari Botanical Garden Trek,Lalitpur,Lalitpur,Easy,1,1500,1500,3,20,40,Year-round,No,None,0,No,None,0.8,0.72,0.32,Low,None,Yes,Yes,No,3,Loop,1,0,0,Abundant,Good,Yes,Royal botanical gardens walk,Nepal Tourism Board
291,Sundarijal Water Trail,Kathmandu,Kathmandu,Easy,1,1600,1400,6,50,100,Year-round,Yes,National Park,1000,No,None,0.68,0.75,0.42,Low,None,Yes,Yes,No,5,Out-and-back,2,200,200,Abundant,Good,Yes,Historic water supply trail,DNPWC
292,Shivapuri Peak Trek,Kathmandu,Kathmandu,Moderate,1,2732,1400,12,100,200,Year-round,Yes,National Park,1000,No,None,0.62,0.82,0.55,Moderate,Basic,Yes,Yes,No,10,Out-and-back,3,1332,1332,Abundant,Good,Yes,Highest peak of Shivapuri NP,DNPWC
293,Namo Buddha Pilgrimage,Kavrepalanchok,Kavrepalanchok,Easy,2,1750,1500,14,120,250,Year-round,No,None,0,No,Lodge,0.92,0.7,0.4,Low,None,Yes,Yes,No,12,Loop,2,250,250,Abundant,Good,Yes,Buddhist pilgrimage site,Nepal Tourism Board
294,Panauti Heritage Walk,Kavrepalanchok,Kavrepalanchok,Easy,1,1500,1400,6,50,100,Year-round,No,None,0,No,Lodge,0.95,0.62,0.35,Low,None,Yes,Yes,No,5,Loop,1,100,100,Abundant,Good,Yes,Medieval Newari town,Nepal Tourism Board
295,Balthali Village Trek,Kavrepalanchok,Kavrepalanchok,Easy,3,1800,1400,22,200,400,Year-round,No,None,0,No,Homestay,0.88,0.72,0.45,Low,None,Yes,Yes,No,18,Loop,3,400,400,Abundant,Good,Yes,Rural Newari agriculture,Nepal Tourism Board
296,Dhulikhel to Namobuddha,Kavrepalanchok,Kavrepalanchok,Easy,2,1750,1500,12,100,200,Year-round,No,None,0,No,Lodge,0.9,0.7,0.42,Low,None,Yes,Yes,No,10,Traverse,2,250,250,Abundant,Good,Yes,Popular day trek from Kathmandu,Nepal Tourism Board
297,Nagarkot to Changu Narayan,Bhaktapur,Bhaktapur,Easy,1,2100,1550,8,60,120,Year-round,No,None,0,No,Lodge,0.88,0.72,0.4,Low,None,Yes,Yes,No,6,One-way,2,0,550,Abundant,Good,Yes,Sunrise viewpoint to temple,Nepal Tourism Board
298,Kopan Monastery Walk,Kathmandu,Kathmandu,Easy,1,1400,1300,4,30,60,Year-round,No,None,0,No,None,0.88,0.62,0.32,Low,None,Yes,Yes,No,3,Out-and-back,1,100,100,Abundant,Good,Yes,Buddhist meditation center,Nepal Tourism Board
299,Boudha Kora Walk,Kathmandu,Kathmandu,Easy,1,1300,1300,2,20,40,Year-round,No,None,0,No,None,0.98,0.55,0.28,Low,None,Yes,Yes,No,2,Loop,1,0,0,Abundant,Good,Yes,Circumambulation of great stupa,Nepal Tourism Board
300,Swayambhunath Monkey Temple Trek,Kathmandu,Kathmandu,Easy,1,1350,1300,3,25,50,Year-round,No,None,0,No,None,0.95,0.6,0.32,Low,None,Yes,Yes,No,2,Out-and-back,1,50,50,Abundant,Good,Yes,UNESCO World Heritage hilltop,Nepal Tourism Board
301,Pashupatinath Temple Walk,Kathmandu,Kathmandu,Easy,1,1300,1300,2,20,40,Year-round,No,None,0,No,None,0.98,0.52,0.25,Low,None,Yes,Yes,No,2,Loop,1,0,0,Abundant,Good,Yes,Sacred Hindu temple complex,Nepal Tourism Board
302,Kirtipur Heritage Walk,Kathmandu,Kathmandu,Easy,1,1400,1300,5,40,80,Year-round,No,None,0,No,None,0.92,0.6,0.35,Low,None,Yes,Yes,No,4,Loop,1,100,100,Abundant,Good,Yes,Ancient Newari fortified town,Nepal Tourism Board
303,Dakshinkali Temple Trek,Kathmandu,Kathmandu,Easy,1,1500,1400,8,50,100,Year-round,No,None,0,No,None,0.85,0.65,0.4,Low,None,Yes,Yes,No,6,Out-and-back,2,100,100,Abundant,Good,Yes,Hindu goddess temple in forest,Nepal Tourism Board
304,Ichangu Narayan Hike,Kathmandu,Kathmandu,Easy,1,1450,1300,6,40,80,Year-round,No,None,0,No,None,0.88,0.68,0.38,Low,None,Yes,Yes,No,5,Out-and-back,1,150,150,Abundant,Good,Yes,Ancient Vishnu temple hike,Nepal Tourism Board
305,Tokha to Budhanilkantha,Kathmandu,Kathmandu,Easy,1,1400,1300,7,50,100,Year-round,No,None,0,No,None,0.82,0.68,0.4,Low,None,Yes,Yes,No,6,Traverse,1,100,100,Abundant,Good,Yes,Northern valley rim walk,Nepal Tourism Board
306,Raniban Forest Walk,Kathmandu,Kathmandu,Easy,1,1600,1400,5,30,60,Year-round,No,None,0,No,None,0.7,0.72,0.4,Low,None,Yes,Yes,No,4,Loop,2,200,200,Abundant,Good,Yes,Community forest near Swayambhu,Nepal Tourism Board
307,Patan Durbar Square Walk,Lalitpur,Lalitpur,Easy,1,1350,1350,3,20,40,Year-round,No,None,0,No,None,0.98,0.5,0.25,Low,None,Yes,Yes,No,2,Loop,1,0,0,Abundant,Good,Yes,UNESCO heritage square tour,Nepal Tourism Board
308,Bungamati Khokana Walk,Lalitpur,Lalitpur,Easy,1,1400,1350,8,60,120,Year-round,No,None,0,No,None,0.92,0.6,0.35,Low,None,Yes,Yes,No,6,Loop,1,50,50,Abundant,Good,Yes,Traditional Newari villages,Nepal Tourism Board
309,Lubhu to Godawari Trek,Lalitpur,Lalitpur,Easy,1,1600,1400,10,70,140,Year-round,No,None,0,No,None,0.78,0.7,0.42,Low,None,Yes,Yes,No,8,Traverse,2,200,200,Abundant,Good,Yes,Southern valley agriculture,Nepal Tourism Board
310,Champi Community Forest,Lalitpur,Lalitpur,Easy,1,1700,1400,6,40,80,Year-round,No,None,0,No,None,0.72,0.75,0.42,Low,None,Yes,Yes,No,5,Loop,2,300,300,Abundant,Good,Yes,Protected community forest,Nepal Tourism Board
311,Pharping Monastery Circuit,Kathmandu,Kathmandu,Easy,1,1600,1400,8,60,120,Year-round,No,None,0,No,None,0.9,0.68,0.4,Low,None,Yes,Yes,No,6,Loop,2,200,200,Abundant,Good,Yes,Buddhist caves and monasteries,Nepal Tourism Board
312,Sankhu Vajrayogini Trek,Kathmandu,Kathmandu,Easy,1,1600,1350,7,50,100,Year-round,No,None,0,No,None,0.88,0.65,0.38,Low,None,Yes,Yes,No,5,Out-and-back,2,250,250,Abundant,Good,Yes,Ancient temple in eastern valley,Nepal Tourism Board
313,Gokarna Forest Walk,Kathmandu,Kathmandu,Easy,1,1400,1350,5,40,80,Year-round,No,None,0,No,None,0.72,0.72,0.38,Low,None,Yes,Yes,No,4,Loop,1,50,50,Abundant,Good,Yes,Royal forest reserve near city,Nepal Tourism Board
314,Suryabinayak Hike,Bhaktapur,Bhaktapur,Easy,1,1500,1350,4,30,60,Year-round,No,None,0,No,None,0.82,0.68,0.38,Low,None,Yes,Yes,No,3,Out-and-back,1,150,150,Abundant,Good,Yes,Temple in forest above Bhaktapur,Nepal Tourism Board
315,Thimi Pottery Trail,Bhaktapur,Bhaktapur,Easy,1,1350,1350,4,30,60,Year-round,No,None,0,No,None,0.9,0.55,0.3,Low,None,Yes,Yes,No,3,Loop,1,0,0,Abundant,Good,Yes,Traditional pottery making village,Nepal Tourism Board
316,Banepa to Nala Trek,Kavrepalanchok,Kavrepalanchok,Easy,1,1550,1450,8,60,120,Year-round,No,None,0,No,None,0.85,0.65,0.38,Low,None,Yes,Yes,No,6,Traverse,2,100,100,Abundant,Good,Yes,Historic trade route towns,Nepal Tourism Board
317,Khopasi Hydropower Walk,Kavrepalanchok,Kavrepalanchok,Easy,1,1400,1200,6,40,80,Year-round,No,None,0,No,None,0.72,0.7,0.4,Low,None,Yes,Yes,No,5,Out-and-back,2,200,200,Abundant,Good,Yes,River valley industrial heritage,Nepal Tourism Board
318,Indrawati Valley Trek,Sindhupalchok,Sindhupalchok,Moderate,4,2200,800,35,350,700,Year-round,No,None,0,No,Homestay,0.8,0.75,0.52,Moderate,Basic,Yes,No,Yes,28,Out-and-back,4,1400,1400,Abundant,Partial,Yes,River valley to highland villages,Nepal Tourism Board
319,Jiri to Bhandar Trek,Solukhumbu,Solukhumbu,Moderate,2,2700,1900,20,180,350,Year-round,No,TIMS only,20,No,Teahouse,0.78,0.75,0.5,Moderate,Basic,Yes,Yes,No,22,One-way,3,800,800,Abundant,Partial,Yes,Classic Everest approach start,Nepal Tourism Board
320,Bhandar to Sete Trek,Solukhumbu,Solukhumbu,Moderate,1,2575,2190,12,100,200,Year-round,No,TIMS only,20,No,Teahouse,0.75,0.75,0.5,Moderate,Basic,Yes,Yes,No,18,One-way,4,385,385,Abundant,Partial,Yes,Sherpa country entry,Nepal Tourism Board
321,Sete to Junbesi Trek,Solukhumbu,Solukhumbu,Hard,1,3530,2575,15,120,240,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.78,0.78,0.55,High,Basic,Yes,Yes,No,22,One-way,4,955,955,Moderate,Partial,Yes,High pass to monastery town,Nepal Tourism Board
322,Junbesi to Nunthala Trek,Solukhumbu,Solukhumbu,Moderate,1,2700,2675,10,80,160,Year-round,No,TIMS only,20,No,Teahouse,0.8,0.75,0.5,Moderate,Basic,Yes,Yes,No,16,One-way,3,25,25,Abundant,Partial,Yes,Apple orchards and monasteries,Nepal Tourism Board
323,Nunthala to Bupsa Trek,Solukhumbu,Solukhumbu,Hard,1,2900,2360,14,100,200,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.72,0.78,0.55,High,Basic,Yes,Yes,No,20,One-way,4,540,540,Moderate,Partial,Yes,Traditional route approach,Nepal Tourism Board
324,Phaplu to Ringmo Trek,Solukhumbu,Solukhumbu,Moderate,2,2800,2400,18,150,300,Year-round,No,TIMS only,20,No,Teahouse,0.78,0.75,0.52,Moderate,Basic,Yes,Yes,No,22,Traverse,4,400,400,Abundant,Partial,Yes,Alternative Everest approach,Nepal Tourism Board
325,Salleri to Phaplu Walk,Solukhumbu,Solukhumbu,Easy,1,2400,2300,6,50,100,Year-round,No,None,0,No,Teahouse,0.82,0.68,0.42,Low,None,Yes,Yes,No,8,One-way,2,100,100,Abundant,Good,Yes,Solu district center walk,Nepal Tourism Board
326,Lukla to Surke Trek,Solukhumbu,Solukhumbu,Easy,1,2700,2290,8,60,120,Year-round,Yes,Sagarmatha NP,3000,No,Teahouse,0.7,0.75,0.45,Low,None,Yes,Yes,No,10,One-way,3,0,410,Abundant,Good,Yes,Descent from Lukla airport,DNPWC
327,Surke to Paiya Trek,Solukhumbu,Solukhumbu,Moderate,1,2730,2200,10,80,160,Year-round,No,TIMS only,20,No,Teahouse,0.72,0.75,0.5,Moderate,Basic,Yes,Yes,No,15,One-way,3,530,530,Abundant,Partial,Yes,Traditional route connector,Nepal Tourism Board
328,Khari La Pass Day Hike,Solukhumbu,Solukhumbu,Hard,1,3150,2600,10,100,200,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.68,0.8,0.6,High,Basic,Yes,Yes,No,18,Out-and-back,4,550,550,Moderate,Partial,No,High pass side trip,Nepal Tourism Board
329,Phakding Rest Day Hike,Solukhumbu,Solukhumbu,Easy,1,2700,2610,6,40,80,Year-round,Yes,Sagarmatha NP,3000,No,Teahouse,0.75,0.75,0.45,Low,None,Yes,Yes,No,8,Out-and-back,3,90,90,Abundant,Partial,Yes,Acclimatization walk,DNPWC
330,Jorsalle to Namche Direct,Solukhumbu,Solukhumbu,Moderate,1,3440,2800,6,60,120,Year-round,Yes,Sagarmatha NP,3000,No,Teahouse,0.7,0.78,0.55,Moderate,Basic,Yes,Yes,No,15,One-way,4,640,640,Abundant,Partial,Yes,Steep climb to Namche,DNPWC
331,Syangboche Panorama Walk,Solukhumbu,Solukhumbu,Moderate,1,3900,3440,5,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.72,0.82,0.5,Moderate,Basic,Yes,Yes,No,12,Out-and-back,4,460,460,Moderate,Partial,Yes,Everest panorama viewpoint,DNPWC
332,Khumjung Village Walk,Solukhumbu,Solukhumbu,Easy,1,3780,3440,6,50,100,Year-round,Yes,Sagarmatha NP,3000,No,Teahouse,0.88,0.75,0.45,Moderate,Basic,Yes,Yes,No,10,Out-and-back,4,340,340,Abundant,Partial,Yes,Hillary school and monastery,DNPWC
333,Phortse Village Trek,Solukhumbu,Solukhumbu,Moderate,1,3840,3440,10,80,160,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.82,0.8,0.55,Moderate,Basic,Yes,Yes,No,18,Traverse,4,400,400,Moderate,Partial,Yes,Traditional Sherpa farming village,DNPWC
334,Upper Pangboche Walk,Solukhumbu,Solukhumbu,Moderate,1,4100,3930,4,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.88,0.78,0.5,Moderate,Basic,Yes,Yes,No,12,Out-and-back,5,170,170,Moderate,Limited,Yes,Oldest monastery in Khumbu,DNPWC
335,Ama Dablam Base Camp Day,Solukhumbu,Solukhumbu,Moderate,1,4600,3860,8,80,160,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.55,0.88,0.65,Moderate,Basic,Yes,Yes,No,20,Out-and-back,5,740,740,Moderate,Limited,No,Iconic peak base camp visit,DNPWC
336,Dingboche to Nangkartshang,Solukhumbu,Solukhumbu,Hard,1,5083,4410,6,60,120,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.5,0.88,0.68,High,Intermediate,No,Yes,Yes,18,Out-and-back,5,673,673,Moderate,Limited,No,Acclimatization peak above Dingboche,DNPWC
337,Chhukhung Ri Approach,Solukhumbu,Solukhumbu,Hard,1,5546,4730,6,80,160,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.45,0.9,0.72,High,Intermediate,No,Yes,Yes,22,Out-and-back,5,816,816,Moderate,Limited,No,High viewpoint in Imja Valley,DNPWC
338,Kongma La Approach,Solukhumbu,Solukhumbu,Very Hard,1,5535,4730,8,100,200,Spring|Autumn,Yes,Sagarmatha NP,3000,Yes,None,0.42,0.88,0.8,Very High,Intermediate,No,Yes,Yes,25,Out-and-back,6,805,805,Moderate,None,No,High pass reconnaissance,DNPWC
339,Lobuche to Gorak Shep,Solukhumbu,Solukhumbu,Hard,1,5164,4940,5,60,120,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.48,0.85,0.62,High,Basic,No,Yes,Yes,18,One-way,6,224,224,Moderate,Limited,No,Final approach to EBC,DNPWC
340,Kala Patthar Sunrise,Solukhumbu,Solukhumbu,Hard,1,5644,5164,3,40,80,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.45,0.92,0.7,High,Intermediate,No,Yes,Yes,15,Out-and-back,6,480,480,Moderate,Limited,No,Classic Everest sunrise viewpoint,DNPWC
341,Pumori Base Camp View,Solukhumbu,Solukhumbu,Hard,1,5400,5164,5,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.42,0.88,0.68,High,Intermediate,No,Yes,Yes,18,Out-and-back,6,236,236,Moderate,Limited,No,Close Pumori views,DNPWC
342,Nuptse Base Camp View,Solukhumbu,Solukhumbu,Hard,1,5200,5164,4,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.4,0.88,0.68,High,Intermediate,No,Yes,Yes,16,Out-and-back,6,36,36,Moderate,Limited,No,Nuptse wall viewpoint,DNPWC
343,Gokyo Valley Entry,Solukhumbu,Solukhumbu,Moderate,2,4750,3440,22,200,400,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.65,0.85,0.62,Moderate,Intermediate,Yes,Yes,Yes,35,One-way,5,1310,1310,Moderate,Limited,No,Approach to Gokyo Lakes,DNPWC
344,Fourth Gokyo Lake,Solukhumbu,Solukhumbu,Moderate,1,4872,4790,5,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.55,0.9,0.6,Moderate,Intermediate,No,Yes,Yes,18,Out-and-back,5,82,82,Moderate,Limited,No,Sacred lake beyond main lakes,DNPWC
345,Fifth Gokyo Lake,Solukhumbu,Solukhumbu,Moderate,1,4990,4790,8,80,160,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.52,0.9,0.62,Moderate,Intermediate,No,Yes,Yes,22,Out-and-back,5,200,200,Moderate,Limited,No,Highest Gokyo lake,DNPWC
346,Ngozumpa Glacier Walk,Solukhumbu,Solukhumbu,Moderate,1,4800,4750,6,60,120,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.48,0.88,0.65,Moderate,Intermediate,No,Yes,Yes,20,Out-and-back,5,50,50,Moderate,Limited,No,Nepal's longest glacier,DNPWC
347,Scoundrel's Viewpoint,Solukhumbu,Solukhumbu,Hard,1,5100,4790,5,50,100,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.5,0.88,0.65,High,Intermediate,No,Yes,Yes,18,Out-and-back,5,310,310,Moderate,Limited,No,Alternative Gokyo viewpoint,DNPWC
348,Thame Village Trek,Solukhumbu,Solukhumbu,Moderate,1,3820,3440,10,100,200,Spring|Autumn,Yes,Sagarmatha NP,3000,No,Teahouse,0.85,0.78,0.55,Moderate,Basic,Yes,Yes,No,20,Out-and-back,4,380,380,Moderate,Partial,Yes,Tenzing Norgay's birthplace,DNPWC
349,Thame to Nangpa La View,Solukhumbu,Solukhumbu,Hard,2,4500,3820,18,200,400,Spring|Autumn,Yes,Sagarmatha NP,3000,Yes,Camping,0.6,0.85,0.72,High,Intermediate,No,Yes,Yes,30,Out-and-back,5,680,680,Moderate,Limited,No,Tibet border viewpoint,DNPWC
350,Sumdur Peak Viewpoint,Solukhumbu,Solukhumbu,Hard,1,4200,3820,8,80,160,Spring|Autumn,Yes,Sagarmatha NP,3000,No,None,0.55,0.85,0.65,High,Intermediate,No,Yes,Yes,22,Out-and-back,5,380,380,Moderate,Limited,No,Views toward Rolwaling,DNPWC
351,Thupten Choling Monastery,Solukhumbu,Solukhumbu,Moderate,2,3000,2700,18,150,300,Year-round,No,TIMS only,20,No,Teahouse,0.92,0.72,0.5,Moderate,Basic,Yes,Yes,No,22,Out-and-back,3,300,300,Abundant,Partial,Yes,Important Sherpa monastery,Nepal Tourism Board
